Border,Date,Measure,Value,Average
US-Mexico Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,11590003,14022944.0
US-Mexico Border,06/01/2019 12:00:00 AM,Personal Vehicles,6124800,6531744.0
US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,5407844,5504016.0
US-Mexico Border,06/01/2019 12:00:00 AM,Pedestrians,3931845,3699825.0
US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicles,2832881,2634870.0
US-Mexico Border,06/01/2019 12:00:00 AM,Trucks,533555,400216.0
US-Canada Border,06/01/2019 12:00:00 AM,Trucks,485867,509902.0
US-Mexico Border,06/01/2019 12:00:00 AM,Truck Containers Full,399640,254507.0
US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Full,366753,381710.0
US-Canada Border,06/01/2019 12:00:00 AM,Bus Passengers,202261,265616.0
US-Mexico Border,06/01/2019 12:00:00 AM,Bus Passengers,176567,243314.0
US-Canada Border,06/01/2019 12:00:00 AM,Rail Containers Full,153206,109534.0
US-Mexico Border,06/01/2019 12:00:00 AM,Truck Containers Empty,139565,141210.0
US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Empty,129434,88623.0
US-Canada Border,06/01/2019 12:00:00 AM,Pedestrians,66714,46443.0
US-Canada Border,06/01/2019 12:00:00 AM,Rail Containers Empty,62544,44388.0
US-Mexico Border,06/01/2019 12:00:00 AM,Rail Containers Empty,49346,31645.0
US-Mexico Border,06/01/2019 12:00:00 AM,Rail Containers Full,45091,28165.0
US-Canada Border,06/01/2019 12:00:00 AM,Train Passengers,44094,21184.0
US-Mexico Border,06/01/2019 12:00:00 AM,Buses,12979,19486.0
US-Canada Border,06/01/2019 12:00:00 AM,Buses,8975,11056.0
US-Canada Border,06/01/2019 12:00:00 AM,Trains,2162,2509.0
US-Mexico Border,06/01/2019 12:00:00 AM,Trains,964,729.0
US-Mexico Border,06/01/2019 12:00:00 AM,Train Passengers,851,1031.0
US-Mexico Border,05/01/2019 12:00:00 AM,Personal Vehicle Passengers,11161555,14033163.0
US-Mexico Border,05/01/2019 12:00:00 AM,Personal Vehicles,6087007,6533332.0
US-Canada Border,05/01/2019 12:00:00 AM,Personal Vehicle Passengers,4209007,5508641.0
US-Mexico Border,05/01/2019 12:00:00 AM,Pedestrians,4144485,3698237.0
US-Canada Border,05/01/2019 12:00:00 AM,Personal Vehicles,2301064,2636063.0
US-Mexico Border,05/01/2019 12:00:00 AM,Trucks,576724,399585.0
US-Canada Border,05/01/2019 12:00:00 AM,Trucks,507425,509911.0
US-Mexico Border,05/01/2019 12:00:00 AM,Truck Containers Full,435491,253861.0
US-Canada Border,05/01/2019 12:00:00 AM,Truck Containers Full,385497,381696.0
US-Canada Border,05/01/2019 12:00:00 AM,Bus Passengers,190178,265885.0
US-Mexico Border,05/01/2019 12:00:00 AM,Bus Passengers,172481,243567.0
US-Canada Border,05/01/2019 12:00:00 AM,Rail Containers Full,159963,109353.0
US-Mexico Border,05/01/2019 12:00:00 AM,Truck Containers Empty,147259,141189.0
US-Canada Border,05/01/2019 12:00:00 AM,Truck Containers Empty,133736,88462.0
US-Canada Border,05/01/2019 12:00:00 AM,Rail Containers Empty,61553,44327.0
US-Mexico Border,05/01/2019 12:00:00 AM,Rail Containers Empty,52634,31570.0
US-Canada Border,05/01/2019 12:00:00 AM,Pedestrians,50586,46428.0
